k,accuracy,f1_0,f1_1
26,0.8818897637795275,0.8524590163934426,0.9015317286652079
26,0.8818897637795275,0.8589341692789969,0.8984198645598194
26,0.8923884514435696,0.8681672025723473,0.9090909090909091
26,0.8372703412073491,0.7919463087248322,0.8663793103448276
26,0.8871391076115486,0.8634920634920635,0.9038031319910514
26,0.916010498687664,0.901840490797546,0.926605504587156
27,0.8871391076115486,0.8590163934426229,0.9059080962800875
27,0.8582677165354331,0.8258064516129032,0.8805309734513275
27,0.884514435695538,0.8607594936708861,0.9013452914798207
27,0.8713910761154856,0.842443729903537,0.8913525498891353
27,0.8792650918635171,0.8486842105263158,0.8995633187772926
27,0.8792650918635171,0.8553459119496856,0.8963963963963963
27,0.8923884514435696,0.8690095846645367,0.9086859688195991
27,0.8346456692913385,0.7878787878787878,0.864516129032258
27,0.8871391076115486,0.8634920634920635,0.9038031319910514
27,0.9133858267716536,0.8984615384615384,0.9244851258581236
28,0.889763779527559,0.8618421052631579,0.9082969432314411
28,0.8608923884514436,0.8284789644012945,0.8830022075055187
28,0.89501312335958,0.8734177215189873,0.9103139013452914
28,0.8713910761154856,0.842443729903537,0.8913525498891353
28,0.884514435695538,0.8552631578947368,0.9039301310043668
28,0.884514435695538,0.8616352201257862,0.9009009009009009
28,0.9002624671916011,0.8782051282051282,0.9155555555555556
28,0.8372703412073491,0.7919463087248322,0.8663793103448276
28,0.8871391076115486,0.8634920634920635,0.9038031319910514
28,0.916010498687664,0.901840490797546,0.926605504587156
29,0.884514435695538,0.8562091503267973,0.9035087719298246
29,0.8582677165354331,0.8258064516129032,0.8805309734513275
29,0.884514435695538,0.8598726114649682,0.9017857142857143
29,0.8713910761154856,0.8414239482200647,0.891832229580574
29,0.8792650918635171,0.8506493506493507,0.8986784140969163
29,0.884514435695538,0.8616352201257862,0.9009009009009009
29,0.89501312335958,0.8717948717948718,0.9111111111111111
29,0.84251968503937,0.7986577181208053,0.8706896551724138
29,0.889763779527559,0.8662420382165605,0.90625
29,0.910761154855643,0.8957055214723927,0.9220183486238532
30,0.8871391076115486,0.8590163934426229,0.9059080962800875
30,0.8608923884514436,0.8284789644012945,0.8830022075055187
30,0.8871391076115486,0.8643533123028391,0.903370786516854
