hyperparameters,k,accuracy,f1_0,f1_1
ignore,19,0.8582677165354331,0.8258064516129032,0.8805309734513275
ignore,19,0.910761154855643,0.8924050632911392,0.9237668161434978
ignore,20,0.8661417322834646,0.8282828282828283,0.8903225806451613
ignore,20,0.8818897637795275,0.8598130841121495,0.8979591836734694
ignore,20,0.89501312335958,0.875,0.9095022624434389
ignore,20,0.89501312335958,0.8773006134969326,0.908256880733945
ignore,20,0.863517060367454,0.8289473684210527,0.8864628820960698
ignore,20,0.8766404199475065,0.842809364548495,0.8984881209503239
ignore,20,0.8818897637795275,0.8580441640378549,0.898876404494382
ignore,20,0.905511811023622,0.8888888888888888,0.9178082191780822
ignore,20,0.863517060367454,0.832258064516129,0.8849557522123894
ignore,20,0.910761154855643,0.8924050632911392,0.9237668161434978
ignore,21,0.863517060367454,0.825503355704698,0.8879310344827587
ignore,21,0.8661417322834646,0.8411214953271028,0.8843537414965986
ignore,21,0.8923884514435696,0.8714733542319749,0.90744920993228
ignore,21,0.89501312335958,0.8765432098765432,0.908675799086758
ignore,21,0.868766404199475,0.8366013071895425,0.8903508771929824
ignore,21,0.8740157480314961,0.8389261744966443,0.896551724137931
ignore,21,0.8766404199475065,0.8535825545171339,0.8934240362811792
ignore,21,0.905511811023622,0.8888888888888888,0.9178082191780822
ignore,21,0.8661417322834646,0.8349514563106796,0.8874172185430463
ignore,21,0.910761154855643,0.89171974522293,0.9241071428571429
ignore,22,0.8661417322834646,0.8294314381270903,0.8898488120950324
ignore,22,0.868766404199475,0.84472049689441,0.8863636363636364
ignore,22,0.8923884514435696,0.8714733542319749,0.90744920993228
ignore,22,0.8923884514435696,0.8722741433021807,0.9070294784580499
ignore,22,0.8740157480314961,0.8421052631578947,0.8951965065502183
ignore,22,0.8766404199475065,0.842809364548495,0.8984881209503239
ignore,22,0.8818897637795275,0.8580441640378549,0.898876404494382
ignore,22,0.905511811023622,0.8888888888888888,0.9178082191780822
ignore,22,0.8608923884514436,0.8284789644012945,0.8830022075055187
ignore,22,0.9133858267716536,0.8945686900958466,0.9265033407572383
ignore,23,0.8608923884514436,0.822742474916388,0.8855291576673866
ignore,23,0.863517060367454,0.8385093167701864,0.8818181818181818
ignore,23,0.8818897637795275,0.8589341692789969,0.8984198645598194
ignore,23,0.889763779527559,0.8695652173913043,0.9045454545454545
ignore,23,0.8661417322834646,0.8327868852459016,0.888402625820569
ignore,23,0.8713910761154856,0.835016835016835,0.8946236559139785
ignore,23,0.884514435695538,0.8616352201257862,0.9009009009009009
ignore,23,0.9133858267716536,0.8978328173374613,0.9248291571753986
ignore,23,0.8582677165354331,0.8246753246753247,0.8810572687224669
ignore,23,0.9133858267716536,0.8945686900958466,0.9265033407572383
ignore,24,0.8608923884514436,0.8215488215488216,0.886021505376344
ignore,24,0.8713910761154856,0.8473520249221184,0.8888888888888888
ignore,24,0.8871391076115486,0.8660436137071651,0.9024943310657596
